"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","COUNTERPART_COUNTRY","FREQUENCY","SCALE","2020","2021","2022","2023","2024"
"IMF.STA:IMTS(1.0.0)","ITA.XG_FOB_USD.USA.A","OBS_VALUE","Italy","Exports of goods, Free on board (FOB), US dollar","United States","Annual","Millions","48540.44818","58290.241824","68315.987322","72652.709633","70074.648333"
"IMF.STA:IMTS(1.0.0)","ITA.XG_FOB_USD.JPN.A","OBS_VALUE","Italy","Exports of goods, Free on board (FOB), US dollar","Japan","Annual","Millions","8136.025681","8930.19862","8520.459448","8686.908828","8907.937204"
"IMF.STA:IMTS(1.0.0)","USA.TBG_USD.CAN.A","OBS_VALUE","United States","Trade balance goods, US dollar","Canada","Annual","Millions","-13813.267075","-47675.44899","-80108.961432","-67861.426096","-63297.825258"
"IMF.STA:IMTS(1.0.0)","USA.MG_CIF_USD.JPN.A","OBS_VALUE","United States","Imports of goods, Cost insurance freight (CIF), US dollar","Japan","Annual","Millions","119506.50017","134832.537575","148063.960827","147340.360867","148208.566623"
"IMF.STA:IMTS(1.0.0)","USA.TBG_USD.FRA.A","OBS_VALUE","United States","Trade balance goods, US dollar","France","Annual","Millions","-14794.405806","-19808.499058","-10457.869811","-12507.40007","-15609.189589"
"IMF.STA:IMTS(1.0.0)","ITA.XG_FOB_USD.GBR.A","OBS_VALUE","Italy","Exports of goods, Free on board (FOB), US dollar","United Kingdom","Annual","Millions","25858.129913","27688.320973","28682.740169","28161.443694","29670.672895"
"IMF.STA:IMTS(1.0.0)","ITA.TBG_USD.FRA.A","OBS_VALUE","Italy","Trade balance goods, US dollar","France","Annual","Millions","15922.315661","17069.55193","15736.90886","20053.826543","17857.334303"
"IMF.STA:IMTS(1.0.0)","CAN.MG_CIF_USD.JPN.A","OBS_VALUE","Canada","Imports of goods, Cost insurance freight (CIF), US dollar","Japan","Annual","Millions","10720.02268","13108.386839","13928.223536","16212.956255","16160.047867"
"IMF.STA:IMTS(1.0.0)","ITA.MG_CIF_USD.JPN.A","OBS_VALUE","Italy","Imports of goods, Cost insurance freight (CIF), US dollar","Japan","Annual","Millions","4166.232338","5272.225707","5530.935602","5880.630364","4765.50818"
"IMF.STA:IMTS(1.0.0)","ITA.MG_CIF_USD.USA.A","OBS_VALUE","Italy","Imports of goods, Cost insurance freight (CIF), US dollar","United States","Annual","Millions","16837.361507","18700.044092","26153.910683","27275.40302","28019.617276"
"IMF.STA:IMTS(1.0.0)","USA.XG_FOB_USD.DEU.A","OBS_VALUE","United States","Exports of goods, Free on board (FOB), US dollar","Germany","Annual","Millions","58001.636678","65307.924357","72553.407512","76699.257272","75612.902972"
"IMF.STA:IMTS(1.0.0)","USA.TBG_USD.DEU.A","OBS_VALUE","United States","Trade balance goods, US dollar","Germany","Annual","Millions","-56895.190348","-69539.072734","-74076.926119","-83021.006466","-84823.644956"
"IMF.STA:IMTS(1.0.0)","ITA.XG_FOB_USD.CAN.A","OBS_VALUE","Italy","Exports of goods, Free on board (FOB), US dollar","Canada","Annual","Millions","4885.195822","5708.146197","6678.345059","6828.26672","6640.378734"
